flora_id,common_name,sci_name,family,genus,species_epithet,care_level,watering,origin,description,image_url
"185","Crimson Frost Birch","Betula 'Crimson Frost'","Betulaceae","Betula","'Crimson","Medium","Frequent","Japan","Crimson Frost Birch (Betula 'Crimson Frost') is an amazing ornamental tree with several features that make it stand out. Its signature trait is its striking deep pink-red leaves that look especially vibrant against the green foliage. When Fall arrives, its foliage takes on a scarlet hue, making this variety outstanding during the winter months. Crimson Frost Birch is also highly adaptable, growing in various soils and climates, including drought conditions. Its bark is an eye-catching whitish gray color and the shape is an elegant oval, making it an ideal choice for both home gardens and public parks alike.","https://s3.us-central-1.wasabisys.com/perenual/species_image/185_betula_crimson_frost/og/B._pubescens_f._rubra_2.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260313%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260313T030645Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=c177521d8699b03ec4f90b2abd811da9c03157471719e1db91c0780f29507224"
"334","Rose Marie Magnolia","Magnolia 'Rose Marie'","","Magnolia","'Rose","Medium","Minimum","China","The Rose Marie Magnolia (Magnolia 'Rose Marie') is an incredible flower that is sure to draw attention to any garden. Its soft pink, red, or lavender flowers combined with its delicate scent produces a captivating display. It is also very low maintenance and tolerant of a variety of soil types. In addition, its dark green evergreen foliage provides interest all year long. The Rose Marie Magnolia is sure to be a show-stopping addition to any garden; its beauty and fragrance in the springtime bring the garden to life.","https://s3.us-central-1.wasabisys.com/perenual/species_image/334_magnolia_rose_marie/og/Magnolia_C397_soulangeana_BW_1.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260313%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260313T030645Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=d891e97ad13b3c0e2638bceb664cfe27c696bd26aeb3500919aabf3933017025"
"1672","sedge","Carex 'Silver Sceptre'","Cyperaceae","Carex","'Silver","Medium","Frequent","United Kingdom","Carex 'Silver Sceptre' is an eye-catching sedge that is sure to make an impact in any garden. It forms elegant, clumping mounds of long, thin foliage that are prominently marked with creamy yellow stripes throughout. Its striking appearance is enhanced by fine-textured flowering stems that reach nearly 2ft tall and are adorned with delicate, silver-tinged spikes of tan flowers. This stunning sedge thrives in moist, shady areas and requires minimal care once established. It is an ideal choice for borders, woodland gardens, and rock gardens. Carex 'Silver Sceptre' is an excellent addition to landscape, offering seasonal interest and low maintenance.","https://s3.us-central-1.wasabisys.com/perenual/species_image/1672_carex_silver_sceptre/og/Carex_morrowii_Silver_Sceptre_0zz.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260313%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260313T030646Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=5ccb5dc77297d70da923a86b77ba47eefe1c78e67581157f3725e7e62d62c6ff"
"99","Pink Lace Japanese Maple*","Acer palmatum 'Pink Lace'","","Acer","palmatum","Moderate","Frequent","Japan","The Pink Lace Japanese Maple is a stunning small tree that packs a big visual punch. Its delicate and intricate lace-like foliage emerges tender pink in the spring and turns to a deep and lovely burgundy-red in the summer and falls months. In the winter months its cheerful pink branches are a great source of winter interest. It's a wonderful focal point for any garden and makes a great addition for a small urban space. Plus, its low maintenance needs mean it can thrive in any soil type or a range of temperatures and light exposures!","https://s3.us-central-1.wasabisys.com/perenual/species_image/99_acer_palmatum_pink_lace/og/Acer_palmatum_27Burgundy_lace_JPG1A.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260313%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260313T030646Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=c2201853cf01b401890a1b995d8e622e20b873b410e08deffc6ef49d61c51948"
"1974","sweet pepperbush","Clethra alnifolia 'Batsto Blush'","Clethraceae","Clethra","alnifolia","Moderate","Frequent","United States","The sweet pepperbush (Clethra alnifolia 'Batsto Blush') is an amazing plant species due to its stunning visual display. In late summer, this deciduous shrub develops large, blush pink flowers with a delightful vanilla scent. During the summer months, its attractive green foliage turns to a lovely yellow shade as its fruit-bearing reaches maturation. This species thrives in an array of conditions, including wet boggy areas and more dry terrains, making it a great all-rounder when it comes to garden composition design. It's also loved by a number of animals such as birds, butterflies, and hummingbirds - a great boon to any wildlife garden.",""
"2203","cockspur thorn","Crataegus 'Vaughn'","Rosaceae","Crataegus","'Vaughn'","Medium","Average","United States","The Crataegus 'Vaughn' or cockspur thorn is an amazing shrub for adding a touch of interest to any landscape. An evergreen, the shrub produces white, fragrant flowers in late spring that are perfect for attracting beneficial pollinators, such as bumblebees and butterflies. It's dense branching structure provides shelter for small wildlife as well. Its vibrant red berries make it an attractive addition to winter landscapes. With an impressive amount of disease resistance and a tolerance to drought, the cockspur thorn is ideal for many climates. It is both a beautiful and hardy plant, making it a great choice for gardens.","https://s3.us-central-1.wasabisys.com/perenual/species_image/2203_crataegus_vaughn/og/4104823947_0907ed622e_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260313%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260313T030646Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=c931c813c06059f4405e4538fd2bd60c9ecb4c27f37c7e11b30d024dd39476b4"
"1684","oriental hornbeam","Carpinus orientalis","Betulaceae","Carpinus","orientalis","Medium","Average","Western Asia","Oriental hornbeam (Carpinus orientalis) is an amazing plant species because it has multiple unique features. It is a deciduous tree known for its remarkable durability and resistance to drought and disease. Its leaves are deep green in color and have veins which a distinct, zig-zag pattern. The bark of the tree is a unique and interesting light gray in color, and its nuts are typically small and dark in color. Oriental hornbeam is a great addition to any garden as it is both hardy and visually eye-catching, making it an excellent choice for landscaping. It is also a good choice for areas of the garden that are in need of a touch of shade and color. For these reasons, the Oriental Hornbeam is an amazing plant species.","https://s3.us-central-1.wasabisys.com/perenual/species_image/1684_carpinus_orientalis/og/2527px-Carpinus_orientalis_multi-stemmed.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260313%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260313T030647Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=1ba8d9181eb368f8395c5ca69fab2e32f00657ba693e867f9349ab18d144accc"
"1359","buffalo grass","Buchloe dactyloides","Poaceae","Buchloe","dactyloides","Low","Minimum","North America","Buffalo Grass (Buchloe dactyloides) is an amazing and versatile grass species native to the Great Plains of North America. It has a light green colour, fine texture and is exceptionally drought tolerant, making it ideal for a wide variety of landscapes. This hardy grass thrives in a variety of environments and does not require regular mowing, making it a very low-maintenance option for lawns, pastures, and ground covers. Its extensive root system also helps in erosion control and soil stabilization. Buffalo Grass is environmentally friendly and requires very little water, fertilizer, or pesticides, making it an excellent choice for sustainable landscaping. Its beauty and toughness make it an exceptional choice for lawns, parks, and other outdoor spaces.","https://s3.us-central-1.wasabisys.com/perenual/species_image/1359_buchloe_dactyloides/og/8008288268_d2c6bcfdc0_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260313%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260313T030647Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=6af3e53a8dce717c62f70f5169c45f95b24acfd412a720e5eed3085d3cc8a956"
"1252","Japanese barberry","Berberis thunbergii 'Maria' SUNJOY GOLD PILLAR","Berberidaceae","Berberis","thunbergii","Medium","Minimum","Japan","The Japanese barberry (Berberis thunbergii 'Maria' SUNJOY GOLD PILLAR) is an amazing, low-mainteance shrub that can be used in many landscape settings. It has beautiful, yellow foliage which retains its color throughout the growing season, and bright yellow flowers that bloom from early spring to late summer. Once established, it is low maintenance and highly tolerant of a variety of growing conditions. It is also pest, deer and rabbit resistant, making it kind on your garden and ideal for urban landscapes. Its compact, upright growing habit and eye-catching yellow and red flowers make it a great focal point, and its ability to tolerate some sun or shade makes it an ideal choice for most gardens.","https://s3.us-central-1.wasabisys.com/perenual/species_image/1252_berberis_thunbergii_maria_sunjoy_gold_pillar/og/51181262633_a762a91f38_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260313%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260313T030647Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=76eaf5c44a383a077342ffb1df0ecd34bb0486f9d87629ef02e09f0d7f1ceecd"
"1352","Siberian bugloss","Brunnera macrophylla 'King's Ransom'","Boraginaceae","Brunnera","macrophylla","Medium","Average","Turkey","Siberian bugloss (Brunnera macrophylla 'King's Ransom') is an absolutely stunning plant. Its lush, bright green foliage is highlighted with large, striking silver variegation and adorned with bright blue, forget-me-not-like flowers that appear in spring. It does best in lightly shaded areas and grows to a mature height of 12-18 inches. It's a low maintenance variety, tolerant of cold temperatures and relatively pest and disease free. Its bold foliage and vibrant flowers make it an excellent choice for borders and container gardens, adding elegant beauty wherever it is planted.  It's the perfect choice for gardeners looking for an eye-catching addition to their landscape.","https://s3.us-central-1.wasabisys.com/perenual/species_image/1352_brunnera_macrophylla_kings_ransom/og/26716286852_152f4cd0aa_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260313%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260313T030648Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=a51aee050bb6c4dbb505eb7670966f9411f1b61b6427b20aa0f1b81277530d4c"
"1212","iron cross begonia","Begonia masoniana","Begoniaceae","Begonia","masoniana","Medium","Average","China","Iron Cross Begonia (Begonia masoniana) is a unique and beautiful plant with large, showy foliage. Its green leaves are marked with a deep purple, cross-shaped pattern with white veins radiating outward, giving the leaves their signature ""iron cross"" look. It's a great choice for brightening up semi-shaded areas or a low light living space. The foliage develops an interesting tuberous shape over time. It produces clusters of white to pink bell shaped flowers that appear in late summer and fall. It's truly a spectacular plant that's sure to be a conversation starter in any garden!","https://s3.us-central-1.wasabisys.com/perenual/species_image/1212_begonia_masoniana/og/29865980861_27d35f6447_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260313%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260313T030648Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=4fd731edcc09a183b759b6a3cc37039ee840baeac1b424e001d4ad4e8a4c7399"
"2273","cycad","Cycas rumphii","Cycadaceae","Cycas","rumphii","Medium","Average","Indonesia","The cycad (Cycas rumphii) is an amazing plant species that is unique to the tropics. It is a living fossil, meaning it was one of the first seed plants in existence. It can live up to 200 years, and can survive in some of the harshest climates. The fern-like fronds have an elegant appearance, and the yellow-orange fruit is an attractive feature. The plant is also extremely strong and can appear nearly invincible when surrounded by other plants. The cycad is an incredible species, resilient and an important part of many tropical ecosystems.","https://s3.us-central-1.wasabisys.com/perenual/species_image/2273_cycas_rumphii/og/6273048921_8d7c24328c_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260313%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260313T030648Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=438c1b1d8a294cbf4731bcbbb47bb6901b6bdc91939838f004e71fa3924ee1e5"
"1280","dwarf birch","Betula 'Golden Treasure' CESKY GOLD","Betulaceae","Betula","'Golden","Medium","Average","Czech Republic","Dwarf birch (Betula 'Golden Treasure' CESKY GOLD) is an amazing plant species due to its impressive hardiness. Although it is considered a dwarf, this small shrub can grow up to 6-7 feet tall, making it an ideal choice for small landscaping projects. It is also resistant to pests and disease and can survive in most climates. Its most attractive feature is its bright and vibrant golden-yellow foliage which provides an eye-catching contrast against most garden backgrounds. It is also an ideal choice for providing dense and low-maintenance ground cover throughout the garden and can be relied upon for its year-round interest.",""
"664","ornamental onion","Allium 'Ambassador'","Amaryllidaceae","Allium","'Ambassador'","Medium","Average","Netherlands","The ornamental onion (Allium 'Ambassador') is an amazing plant for any garden. Its tall, 2-foot umbels of bright purple flowers rise high above its deep green foliage, creating a dramatic statement in any landscape. Not only are the blooms beautiful to look at, but they also release a wonderful garlic-like aroma that adds to the ambiance. Its light purple, round bulbs are often used as an ornamental feature, either in the garden or in a potted display. Plus, the ornamental onion is surprisingly easy to care for and can survive in most climates. For a stunning and aromatic touch to any garden, ornamental onion (Allium 'Ambassador') is an excellent choice.","https://s3.us-central-1.wasabisys.com/perenual/species_image/664_allium_ambassador/og/52265692295_ef78282782_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260313%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260313T030649Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=560a3616e170c0b90e61e2cf3c9a5279fa7f6bc792e7a169b8128127f962b7d3"
"1757","Chinese plum yew","Cephalotaxus fortunei","Taxaceae","Cephalotaxus","fortunei","Medium","Average","Eastern and central China","The Chinese Plum Yew (Cephalotaxus fortunei) is an amazing evergreen species native to central and southern China. This plant reaches heights of 6 to 8 feet with needles that are a regal emerald green. In the spring, it produces dainty yellow flowers that form into bright red round fruits when ripe. Its dense foliage makes it a great choice for privacy hedges and it's easy to grow, thriving in both sun and shade. Best of all, it has great pest and disease resistance and can withstand periods of drought. Chinese Plum Yews are a charming addition with their unique texture and color, making it a must-have for any garden.","https://s3.us-central-1.wasabisys.com/perenual/species_image/1757_cephalotaxus_fortunei/og/33454539652_e304f79620_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260313%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260313T030649Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=6ae6514f828e515e92beda6dc2dc3a30d3d6157b65b29c3df12475c80458c191"
"984","mugwort","Artemisia vulgaris","Asteraceae","Artemisia","vulgaris","Medium","Average","Europe","Mugwort (Artemisia vulgaris) is a resilient and unique plant species that has been used for centuries in herbal medicine. It is an attractive woody perennial with a distinctive silvery foliage and small yellow-green flowers. Mugwort is revered for its healing properties, such as helping to soothe indigestion, aid in sleep, boost the immune system, and even to ward off evil spirits! It's also the key ingredient in a famous German beer called 'Gruit'. Whatever the usage, Mugwort is an amazing plant that continues to show its versatility by offering a variety of benefits to those who use it.","https://s3.us-central-1.wasabisys.com/perenual/species_image/984_artemisia_vulgaris/og/52276003747_32447c5ab2_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260313%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260313T030649Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=c72c090802d4dd52b2216694136b765ac68ed30d384e0bde799e575538e2b48e"
